Train Loss,Train IoU,Validation Loss,Validation IoU
0.3269022,0.048717603,0.333733,0.08942137
0.31601745,0.19372775,0.32883403,0.29898435
0.306295,0.297388,0.32324192,0.4183184
0.2989442,0.3393481,0.32153246,0.4030029
0.29612178,0.3401566,0.3200933,0.4388963
0.29349563,0.3515965,0.32007828,0.40974635
0.291488,0.35801342,0.321009,0.38273525
0.28896445,0.36631238,0.31748745,0.44496763
0.28723034,0.35887817,0.322196,0.32552075
0.28632742,0.35342887,0.31640124,0.4659724
0.2830739,0.35786486,0.32126084,0.37856528
0.2827617,0.36026913,0.3149412,0.4568189
0.28236863,0.35403427,0.31449565,0.4744851
0.278337,0.3672062,0.31503013,0.4547416
0.277773,0.36600062,0.3132845,0.46163422
0.27678704,0.37227172,0.31437993,0.4452526
0.27070612,0.36746287,0.3198077,0.3796977
0.27682853,0.35417482,0.3133657,0.4419304
0.27389467,0.3586798,0.3131357,0.45832762
0.27571812,0.35806295,0.3122872,0.4687101
0.2708214,0.36326703,0.3155401,0.38837796
0.27083996,0.35585603,0.31293628,0.4375362
0.2682877,0.36046463,0.31234315,0.45263547
0.26696,0.35632077,0.3120377,0.4307512
0.26649737,0.35969037,0.31189665,0.43313837
0.26589072,0.36246613,0.31222346,0.46801198
0.2656262,0.36528194,0.31399062,0.43372586
0.2677386,0.35845688,0.31310442,0.43899438
0.26713738,0.3589016,0.31327623,0.43438843
0.26891944,0.35701346,0.31216282,0.4669375
0.2628256,0.37282547,0.31150448,0.47448438
0.26402557,0.37299302,0.31175533,0.45472318
0.2563537,0.37915078,0.31203696,0.43735263
0.25948822,0.38765943,0.311868,0.4690001
0.26082402,0.3743772,0.3097551,0.47312665
0.2584538,0.38585067,0.31093487,0.47404101
0.26167756,0.3845771,0.3111829,0.47591507
0.25946805,0.38989204,0.3097635,0.5066591
0.2592076,0.3892456,0.31154776,0.45827776
0.25668538,0.38526922,0.3103268,0.48674113
0.25486112,0.39104512,0.3093576,0.50067145
0.25198978,0.40453172,0.3085866,0.5141626
0.2562428,0.39486894,0.30797592,0.49997446
0.24748395,0.4125597,0.30777577,0.5106879
0.25443983,0.40008974,0.308443,0.5018281
0.2535139,0.40397042,0.30926394,0.50432104
0.25054666,0.4095633,0.30822527,0.5078709
0.2531893,0.40597585,0.30813414,0.49840707
0.25098,0.41109535,0.30706578,0.52487147
0.24941313,0.40784732,0.30713767,0.5100438
