Train Loss,Train IoU,Validation Loss,Validation IoU
0.31865996,0.11890442,0.32713112,0.23322654
0.29790908,0.28996518,0.3227383,0.4018461
0.28709596,0.35864532,0.32041734,0.4302538
0.28079054,0.38039175,0.31930545,0.435703
0.27182686,0.37540457,0.31851363,0.3948402
0.27146798,0.36209926,0.31923503,0.42948586
0.26965535,0.3823093,0.3172504,0.43041518
0.2676291,0.37517804,0.3130565,0.47854915
0.26189262,0.39535344,0.31377715,0.48195833
0.2604784,0.39143732,0.3158399,0.46995783
0.26432976,0.3897586,0.31738397,0.41738188
0.26062036,0.3749733,0.31416228,0.45637426
0.25101852,0.39851362,0.31292424,0.4680337
0.25251564,0.40480945,0.31206688,0.48920202
0.25052074,0.40974757,0.31134143,0.49898362
0.24571237,0.4155518,0.31196392,0.46628052
0.2507711,0.41671902,0.3108154,0.50496316
0.24861254,0.42072517,0.309986,0.505877
0.24702244,0.42718372,0.3096455,0.5044607
0.24534705,0.4275646,0.3097251,0.50622326
0.24230932,0.42537743,0.30977246,0.50610405
0.24298656,0.43983564,0.31060743,0.51762336
0.23997444,0.44747117,0.30988303,0.5027998
0.24011312,0.4460737,0.30892137,0.52165
0.23287274,0.4497396,0.3092884,0.5237914
0.23083563,0.46470478,0.30904114,0.5209704
0.23689988,0.45373628,0.3084467,0.5163797
0.24036707,0.4527395,0.3089493,0.52774525
0.23368877,0.46880513,0.3080505,0.52220464
0.23553534,0.4625632,0.30789027,0.5287751
0.23146862,0.46478465,0.30761206,0.53660923
0.23347965,0.47344893,0.30745256,0.5402734
0.22949004,0.462587,0.30748534,0.52710575
0.23419797,0.45951796,0.3087645,0.5276256
0.23180935,0.4583786,0.30774876,0.5276979
0.23175277,0.45807344,0.3070985,0.53575075
0.23184256,0.47297665,0.30714786,0.5405098
0.23144105,0.47177935,0.30672604,0.53138477
0.23276772,0.4691403,0.30731404,0.5339359
0.22922152,0.4726867,0.30649444,0.5624317
0.23003805,0.47644177,0.30652344,0.5393373
0.22973678,0.47035247,0.3073513,0.54543054
0.22940302,0.47850022,0.3061302,0.5510344
0.23083675,0.4869401,0.30692288,0.55101866
0.22973259,0.47738782,0.30665213,0.5451689
0.2277245,0.47646374,0.30601266,0.55619055
0.22743282,0.47914913,0.3058124,0.5551873
0.22837724,0.4773216,0.30612403,0.55713314
0.22777452,0.47754103,0.30555597,0.55164653
0.22729202,0.48716214,0.30539337,0.5567174
