Pixel Intensity,Frequency
0,970533
1,390429
2,487113
3,473124
4,592665
5,588473
6,582208
7,655413
8,665829
9,752268
10,808479
11,920960
12,995128
13,1009975
14,1071349
15,1114415
16,1154453
17,1220935
18,1258976
19,1388317
20,1417824
21,1536419
22,1573181
23,1667083
24,1688199
25,1780542
26,1784155
27,1786848
28,1835093
29,1900546
30,1915570
31,1972683
32,2040440
33,2066822
34,2041187
35,2054169
36,2079932
37,2133635
38,2182145
39,2212570
40,2228912
41,2274486
42,2290611
43,2303686
44,2355547
45,2398574
46,2433198
47,2458918
48,2530227
49,2542562
50,2605458
51,2665587
52,2677657
53,2702871
54,2789465
55,2847860
56,2877945
57,2893098
58,2874585
59,2954601
60,2925245
61,2950438
62,2946151
63,2987151
64,2988982
65,2983999
66,3023157
67,3086513
68,3091968
69,3129366
70,3135234
71,3145865
72,3178848
73,3181673
74,3196500
75,3233365
76,3280552
77,3281740
78,3311987
79,3314158
80,3411001
81,3384468
82,3468577
83,3517446
84,3504375
85,3532509
86,3483490
87,3633019
88,3619285
89,3589217
90,3611716
91,3628069
92,3619866
93,3554163
94,3562644
95,3580514
96,3644168
97,3612002
98,3699123
99,3744841
100,3677414
101,3656850
102,3660103
103,3658408
104,3716025
105,3857849
106,3821141
107,3911262
108,3881057
109,3912234
110,3894366
111,3869072
112,3888454
113,3938351
114,3900291
115,3852464
116,3818154
117,3838039
118,3795203
119,3831841
120,3844634
121,3876272
122,3815940
123,3727205
124,3716846
125,3706886
126,3742906
127,3741216
128,3750671
129,3731504
130,3695313
131,3697816
132,3680060
133,3734527
134,3739403
135,3730413
136,3760044
137,3740914
138,3684398
139,3737678
140,3683841
141,3765756
142,3686407
143,3689523
144,3634768
145,3603381
146,3566282
147,3604795
148,3567162
149,3503105
150,3416918
151,3269733
152,3181876
153,3139460
154,3012737
155,2940557
156,2865173
157,2788240
158,2674019
159,2621381
160,2582704
161,2566977
162,2499778
163,2449193
164,2451443
165,2414124
166,2380258
167,2346323
168,2280178
169,2214371
170,2127556
171,2089019
172,2043083
173,1987864
174,1948065
175,1902712
176,1877838
177,1838182
178,1801844
179,1775388
180,1744530
181,1710966
182,1683815
183,1626643
184,1577492
185,1533041
186,1496341
187,1464119
188,1415639
189,1432891
190,1403058
191,1367619
192,1312865
193,1271977
194,1263628
195,1216246
196,1199118
197,1164982
198,1132281
199,1090002
200,1035293
201,1041477
202,994061
203,998118
204,997839
205,949252
206,904755
207,839276
208,907892
209,907890
210,829771
211,808787
212,747037
213,707213
214,716809
215,663832
216,627275
217,601238
218,564491
219,564513
220,600337
221,570156
222,511882
223,525336
224,468528
225,439527
226,445689
227,471539
228,407487
229,373428
230,355913
231,357152
232,365351
233,352618
234,316072
235,296303
236,281640
237,271409
238,278320
239,248862
240,239176
241,238422
242,249363
243,237173
244,227990
245,194981
246,183523
247,170821
248,162791
249,145123
250,162709
251,158186
252,165916
253,163368
254,136643
255,172032
